test,Z1,Z2,is_positive_sentiment,sentiment_certainty,stars,n_words,useful,useful_discrete,n_fans,n_reviews
1,1,1,1.0,0.9994276762008668,5,176,0,0,0,3
1,1,0,0.0,0.9900749325752258,4,940,39,1,330,1224
0,0,0,1.0,0.9355745315551758,4,131,1,1,113,1864
1,0,0,0.0,0.9994542002677916,1,18,0,0,0,6
1,0,0,1.0,0.9994301199913024,5,63,0,0,0,15
1,1,0,1.0,0.5223010778427124,5,216,0,0,0,8
1,0,0,1.0,0.99327152967453,4,170,0,0,2,162
1,1,1,1.0,0.9985421299934388,4,117,0,0,1,51
1,0,0,1.0,0.9989134073257446,5,24,0,0,0,3
1,1,0,0.0,0.99883234500885,3,392,1,1,36,369
1,1,1,1.0,0.999829351902008,5,24,2,1,12,197
0,1,1,1.0,0.999632716178894,5,118,0,0,3,53
1,0,0,0.0,0.9870241284370422,1,62,0,0,46,1893
0,1,1,1.0,0.9997984170913696,5,48,3,1,1,7
1,0,0,1.0,0.928213357925415,5,69,0,0,1,69
0,1,1,0.0,0.5972093939781189,4,33,1,1,4,36
1,1,0,1.0,0.978535294532776,5,257,1,1,31,406
1,0,0,1.0,0.9985052347183228,4,98,1,1,2,76
0,1,0,1.0,0.9925917387008668,5,403,1,1,25,424
1,0,0,1.0,0.9786809682846068,3,302,2,1,31,235
0,1,1,1.0,0.9991438984870912,4,125,1,1,1,19
1,1,1,1.0,0.9863461852073668,3,43,0,0,1,88
1,0,0,1.0,0.6940838694572449,5,190,0,0,0,6
1,0,0,1.0,0.9915034770965576,4,302,1,1,3,153
0,1,1,1.0,0.998250126838684,4,27,0,0,0,2
1,1,1,1.0,0.9990524649620056,5,131,51,1,62,664
1,1,1,0.0,0.9168449640274048,3,76,0,0,3,62
1,1,1,1.0,0.9997656345367432,5,63,1,1,6,114
0,0,0,1.0,0.9997583031654358,5,190,1,1,5,225
1,1,1,0.0,0.996649444103241,2,276,0,0,1,37
0,1,1,1.0,0.9981310367584229,4,94,0,0,72,1152
0,1,1,1.0,0.999864101409912,5,41,0,0,0,5
0,1,1,0.0,0.9219261407852172,3,142,1,1,55,377
1,0,0,0.0,0.9991700053215028,1,110,0,0,1,17
1,0,0,1.0,0.999649703502655,5,85,0,0,0,5
0,1,1,0.0,0.972755253314972,5,90,0,0,1,50
1,0,0,1.0,0.999209761619568,5,10,0,0,0,16
0,1,1,1.0,0.9995458126068116,4,81,0,0,0,10
1,0,0,0.0,0.9900892972946168,3,43,0,0,0,16
1,0,0,1.0,0.9976057410240172,5,31,0,0,0,4
0,1,1,1.0,0.9998600482940674,5,52,1,1,15,138
1,0,0,1.0,0.9890661835670472,3,196,2,1,46,826
0,1,1,0.0,0.9965459704399108,2,10,0,0,0,4
1,1,0,1.0,0.9933805465698242,4,285,0,0,17,179
0,1,1,1.0,0.999802589416504,5,70,2,1,3,70
1,0,0,0.0,0.9833128452301024,1,221,3,1,22,281
1,1,1,0.0,0.9986193776130676,4,51,0,0,0,5
0,1,1,1.0,0.9998775124549866,5,18,0,0,2,72
1,1,1,1.0,0.999569535255432,5,169,0,0,2,15
1,0,0,1.0,0.9998346567153932,4,82,0,0,1,109
0,0,0,0.0,0.9991925954818726,1,150,0,0,0,2
0,1,0,1.0,0.9938201308250428,5,293,4,1,32,419
1,1,1,1.0,0.7402545809745789,4,161,2,1,24,471
1,0,0,1.0,0.999738872051239,5,39,0,0,0,16
1,0,0,1.0,0.9994500279426576,4,71,0,0,18,297
0,1,1,1.0,0.9874621033668518,4,152,0,0,12,693
1,0,0,0.0,0.9992188811302184,1,70,0,0,2,490
0,1,1,0.0,0.9997578859329224,3,42,0,0,0,30
0,1,1,1.0,0.9998712539672852,5,88,0,0,0,31
1,0,0,0.0,0.9939746856689452,2,117,0,0,1,59
0,0,0,1.0,0.9986683130264282,5,143,0,0,0,21
